transaction_id,source_inventory_id,destination_inventory_id,quantity,dest_qty,loss_percent,mode
TXN-B1012-3,INV-B1012-2,INV-B1012-3,1990.48,1920.84,3.5,WASHING
TXN-B1012-4,INV-B1012-3,INV-B1012-4,1920.84,1876.91,2.29,RECYCLING
TXN-B1012-5,INV-B1012-4,INV-B1012-5,1876.91,1818.12,3.13,DISPATCH
TXN-B1013-1,COLLECTION_SOURCE,INV-B1013-1,1050.33,1001.53,4.65,INWARD
TXN-B1013-2,INV-B1013-1,INV-B1013-2,1001.53,959.69,4.18,SEGREGATION
TXN-B1013-3,INV-B1013-2,INV-B1013-3,959.69,940.48,2.0,WASHING
TXN-B1013-4,INV-B1013-3,INV-B1013-4,940.48,896.44,4.68,RECYCLING
TXN-B1013-5,INV-B1013-4,INV-B1013-5,896.44,854.58,4.67,DISPATCH
TXN-B1014-1,COLLECTION_SOURCE,INV-B1014-1,1010.26,967.81,4.2,INWARD
TXN-B1014-2,INV-B1014-1,INV-B1014-2,967.81,948.14,2.03,SEGREGATION
TXN-B1014-3,INV-B1014-2,INV-B1014-3,948.14,922.63,2.69,WASHING
TXN-B1014-4,INV-B1014-3,INV-B1014-4,922.63,882.5,4.35,RECYCLING
TXN-B1014-5,INV-B1014-4,INV-B1014-5,882.5,852.5,3.4,DISPATCH
TXN-B1015-1,COLLECTION_SOURCE,INV-B1015-1,1432.43,1398.28,2.38,INWARD
TXN-B1015-2,INV-B1015-1,INV-B1015-2,1398.28,1334.22,4.58,SEGREGATION
TXN-B1015-3,INV-B1015-2,INV-B1015-3,1334.22,1299.36,2.61,WASHING
TXN-B1015-4,INV-B1015-3,INV-B1015-4,1299.36,1235.66,4.9,RECYCLING
TXN-B1015-5,INV-B1015-4,INV-B1015-5,1235.66,1179.6,4.54,DISPATCH
TXN-B1016-1,COLLECTION_SOURCE,INV-B1016-1,783.29,744.43,4.96,INWARD
TXN-B1016-2,INV-B1016-1,INV-B1016-2,744.43,725.25,2.58,SEGREGATION
TXN-B1016-3,INV-B1016-2,INV-B1016-3,725.25,694.95,4.18,WASHING
TXN-B1016-4,INV-B1016-3,INV-B1016-4,694.95,663.1,4.58,RECYCLING
TXN-B1016-5,INV-B1016-4,INV-B1016-5,663.1,648.01,2.28,DISPATCH
TXN-B1017-1,COLLECTION_SOURCE,INV-B1017-1,1023.01,992.15,3.02,INWARD
TXN-B1017-2,INV-B1017-1,INV-B1017-2,992.15,945.76,4.68,SEGREGATION
TXN-B1017-3,INV-B1017-2,INV-B1017-3,945.76,910.49,3.73,WASHING
TXN-B1017-4,INV-B1017-3,INV-B1017-4,910.49,876.38,3.75,RECYCLING
TXN-B1017-5,INV-B1017-4,INV-B1017-5,876.38,840.84,4.06,DISPATCH
TXN-B1018-1,COLLECTION_SOURCE,INV-B1018-1,1847.53,1781.05,3.6,INWARD
TXN-B1019-1,COLLECTION_SOURCE,INV-B1019-1,1194.13,1166.01,2.35,INWARD
TXN-B1019-2,INV-B1019-1,INV-B1019-2,1166.01,1132.45,2.88,SEGREGATION
TXN-B1019-3,INV-B1019-2,INV-B1019-3,1132.45,1104.68,2.45,WASHING
TXN-B1019-4,INV-B1019-3,INV-B1019-4,1104.68,1078.01,2.41,RECYCLING
TXN-B1019-5,INV-B1019-4,INV-B1019-5,1078.01,1047.8,2.8,DISPATCH
TXN-B1020-1,COLLECTION_SOURCE,INV-B1020-1,2231.98,2157.34,3.34,INWARD
TXN-B1020-2,INV-B1020-1,INV-B1020-2,2157.34,2064.13,4.32,SEGREGATION
TXN-B1020-3,INV-B1020-2,INV-B1020-3,2064.13,2003.46,2.94,WASHING
TXN-B1020-4,INV-B1020-3,INV-B1020-4,2003.46,1958.25,2.26,RECYCLING
TXN-B1020-5,INV-B1020-4,INV-B1020-5,1958.25,1916.74,2.12,DISPATCH
TXN-B1021-1,COLLECTION_SOURCE,INV-B1021-1,483.81,455.59,5.83,INWARD
TXN-B1021-2,INV-B1021-1,INV-B1021-2,455.59,428.35,5.98,SEGREGATION
TXN-B1021-3,INV-B1021-2,INV-B1021-3,428.35,407.76,4.81,WASHING
TXN-B1021-4,INV-B1021-3,INV-B1021-4,407.76,382.65,6.16,RECYCLING
TXN-B1021-5,INV-B1021-4,INV-B1021-5,382.65,366.04,4.34,DISPATCH
TXN-B1022-1,COLLECTION_SOURCE,INV-B1022-1,2324.08,2187.73,5.87,INWARD
TXN-B1022-2,INV-B1022-1,INV-B1022-2,2187.73,2058.17,5.92,SEGREGATION
TXN-B1022-3,INV-B1022-2,INV-B1022-3,2058.17,1960.42,4.75,WASHING
TXN-B1022-4,INV-B1022-3,INV-B1022-4,1960.42,1875.22,4.35,RECYCLING
TXN-B1022-5,INV-B1022-4,INV-B1022-5,1875.22,1764.3,5.91,DISPATCH
TXN-B1023-1,COLLECTION_SOURCE,INV-B1023-1,1310.96,1232.27,6.0,INWARD
TXN-B1023-2,INV-B1023-1,INV-B1023-2,1232.27,1164.63,5.49,SEGREGATION
TXN-B1023-3,INV-B1023-2,INV-B1023-3,1164.63,1113.48,4.39,WASHING
TXN-B1023-4,INV-B1023-3,INV-B1023-4,1113.48,1041.68,6.45,RECYCLING
TXN-B1024-1,COLLECTION_SOURCE,INV-B1024-1,429.33,408.32,4.89,INWARD
TXN-B1024-2,INV-B1024-1,INV-B1024-2,408.32,389.93,4.5,SEGREGATION
TXN-B1024-3,INV-B1024-2,INV-B1024-3,389.93,370.28,5.04,WASHING
TXN-B1024-4,INV-B1024-3,INV-B1024-4,370.28,350.09,5.45,RECYCLING
TXN-B1024-5,INV-B1024-4,INV-B1024-5,350.09,327.81,6.37,DISPATCH
TXN-B1025-1,COLLECTION_SOURCE,INV-B1025-1,458.84,434.06,5.4,INWARD
TXN-B1025-2,INV-B1025-1,INV-B1025-2,434.06,409.84,5.58,SEGREGATION
TXN-B1025-3,INV-B1025-2,INV-B1025-3,409.84,383.97,6.31,WASHING
TXN-B1025-4,INV-B1025-3,INV-B1025-4,383.97,367.59,4.27,RECYCLING
TXN-B1025-5,INV-B1025-4,INV-B1025-5,367.59,343.58,6.53,DISPATCH
TXN-B1026-1,COLLECTION_SOURCE,INV-B1026-1,1640.27,1529.93,6.73,INWARD
TXN-B1026-2,INV-B1026-1,INV-B1026-2,1529.93,1425.42,6.83,SEGREGATION
TXN-B1026-3,INV-B1026-2,INV-B1026-3,1425.42,1354.83,4.95,WASHING
TXN-B1026-4,INV-B1026-3,INV-B1026-4,1354.83,1299.36,4.09,RECYCLING
TXN-B1026-5,INV-B1026-4,INV-B1026-5,1299.36,1235.88,4.89,DISPATCH
TXN-B1027-1,COLLECTION_SOURCE,INV-B1027-1,1470.69,1401.86,4.68,INWARD
TXN-B1027-2,INV-B1027-1,INV-B1027-2,1401.86,1307.92,6.7,SEGREGATION
TXN-B1027-3,INV-B1027-2,INV-B1027-3,1307.92,1251.37,4.32,WASHING
TXN-B1027-4,INV-B1027-3,INV-B1027-4,1251.37,1188.38,5.03,RECYCLING
TXN-B1027-5,INV-B1027-4,INV-B1027-5,1188.38,1105.85,6.94,DISPATCH
TXN-B1028-1,COLLECTION_SOURCE,INV-B1028-1,2277.46,2138.04,6.12,INWARD
TXN-B1028-2,INV-B1028-1,INV-B1028-2,2138.04,1999.45,6.48,SEGREGATION
TXN-B1028-3,INV-B1028-2,INV-B1028-3,1999.45,1914.84,4.23,WASHING
TXN-B1028-4,INV-B1028-3,INV-B1028-4,1914.84,1800.74,5.96,RECYCLING
TXN-B1028-5,INV-B1028-4,INV-B1028-5,1800.74,1686.69,6.33,DISPATCH
TXN-B1029-1,COLLECTION_SOURCE,INV-B1029-1,744.21,695.31,6.57,INWARD
TXN-B1030-1,COLLECTION_SOURCE,INV-B1030-1,2049.17,1932.24,5.71,INWARD
TXN-B1030-2,INV-B1030-1,INV-B1030-2,1932.24,1802.41,6.72,SEGREGATION
TXN-B1030-3,INV-B1030-2,INV-B1030-3,1802.41,1690.56,6.21,WASHING
TXN-B1030-4,INV-B1030-3,INV-B1030-4,1690.56,1574.33,6.87,RECYCLING
TXN-B1030-5,INV-B1030-4,INV-B1030-5,1574.33,1491.59,5.26,DISPATCH
TXN-B1031-1,COLLECTION_SOURCE,INV-B1031-1,671.88,628.67,6.43,INWARD
TXN-B1032-1,COLLECTION_SOURCE,INV-B1032-1,447.46,428.69,4.2,INWARD
TXN-B1032-2,INV-B1032-1,INV-B1032-2,428.69,409.54,4.47,SEGREGATION
TXN-B1032-3,INV-B1032-2,INV-B1032-3,409.54,391.31,4.45,WASHING
TXN-B1032-4,INV-B1032-3,INV-B1032-4,391.31,366.88,6.24,RECYCLING
TXN-B1032-5,INV-B1032-4,INV-B1032-5,366.88,349.07,4.86,DISPATCH
TXN-B1033-1,COLLECTION_SOURCE,INV-B1033-1,958.23,903.84,5.68,INWARD
TXN-B1033-2,INV-B1033-1,INV-B1033-2,903.84,858.36,5.03,SEGREGATION
TXN-B1034-1,COLLECTION_SOURCE,INV-B1034-1,1558.0,1469.92,5.65,INWARD
TXN-B1034-2,INV-B1034-1,INV-B1034-2,1469.92,1369.47,6.83,SEGREGATION
TXN-B1035-1,COLLECTION_SOURCE,INV-B1035-1,2209.26,2087.23,5.52,INWARD
TXN-B1035-2,INV-B1035-1,INV-B1035-2,2087.23,1985.69,4.86,SEGREGATION
TXN-B1035-3,INV-B1035-2,INV-B1035-3,1985.69,1881.35,5.25,WASHING
TXN-B1035-4,INV-B1035-3,INV-B1035-4,1881.35,1799.07,4.37,RECYCLING
TXN-B1035-5,INV-B1035-4,INV-B1035-5,1799.07,1705.88,5.18,DISPATCH
TXN-B1036-1,COLLECTION_SOURCE,INV-B1036-1,538.64,513.56,4.66,INWARD
TXN-B1036-2,INV-B1036-1,INV-B1036-2,513.56,481.7,6.2,SEGREGATION
TXN-B1036-3,INV-B1036-2,INV-B1036-3,481.7,460.74,4.35,WASHING
TXN-B1036-4,INV-B1036-3,INV-B1036-4,460.74,436.11,5.35,RECYCLING
TXN-B1036-5,INV-B1036-4,INV-B1036-5,436.11,416.28,4.55,DISPATCH
TXN-B1037-1,COLLECTION_SOURCE,INV-B1037-1,1954.1,1855.72,5.03,INWARD
TXN-B1038-1,COLLECTION_SOURCE,INV-B1038-1,2138.38,2002.57,6.35,INWARD
TXN-B1038-2,INV-B1038-1,INV-B1038-2,2002.57,1871.64,6.54,SEGREGATION
TXN-B1038-3,INV-B1038-2,INV-B1038-3,1871.64,1771.68,5.34,WASHING
TXN-B1038-4,INV-B1038-3,INV-B1038-4,1771.68,1692.88,4.45,RECYCLING
TXN-B1038-5,INV-B1038-4,INV-B1038-5,1692.88,1584.56,6.4,DISPATCH
TXN-B1039-1,COLLECTION_SOURCE,INV-B1039-1,1520.41,1432.44,5.79,INWARD
TXN-B1039-2,INV-B1039-1,INV-B1039-2,1432.44,1345.32,6.08,SEGREGATION
TXN-B1039-3,INV-B1039-2,INV-B1039-3,1345.32,1286.51,4.37,WASHING
TXN-B1040-1,COLLECTION_SOURCE,INV-B1040-1,502.57,470.87,6.31,INWARD
TXN-B1040-2,INV-B1040-1,INV-B1040-2,470.87,440.04,6.55,SEGREGATION
TXN-B1040-3,INV-B1040-2,INV-B1040-3,440.04,420.98,4.33,WASHING
TXN-B1040-4,INV-B1040-3,INV-B1040-4,420.98,401.39,4.65,RECYCLING
TXN-B1040-5,INV-B1040-4,INV-B1040-5,401.39,383.98,4.34,DISPATCH
TXN-B1041-1,COLLECTION_SOURCE,INV-B1041-1,923.14,818.04,11.39,INWARD
TXN-B1041-2,INV-B1041-1,INV-B1041-2,818.04,666.77,18.49,SEGREGATION
TXN-B1041-3,INV-B1041-2,INV-B1041-3,666.77,588.96,11.67,WASHING
TXN-B1041-4,INV-B1041-3,INV-B1041-4,588.96,541.2,8.11,RECYCLING
TXN-B1041-5,INV-B1041-4,INV-B1041-5,541.2,494.89,8.56,DISPATCH
TXN-B1042-1,COLLECTION_SOURCE,INV-B1042-1,1961.49,1792.09,8.64,INWARD
TXN-B1042-2,INV-B1042-1,INV-B1042-2,1792.09,1437.08,19.81,SEGREGATION
TXN-B1042-3,INV-B1042-2,INV-B1042-3,1437.08,1235.97,13.99,WASHING
TXN-B1042-4,INV-B1042-3,INV-B1042-4,1235.97,1065.99,13.75,RECYCLING
TXN-B1042-5,INV-B1042-4,INV-B1042-5,1065.99,954.21,10.49,DISPATCH
TXN-B1043-1,COLLECTION_SOURCE,INV-B1043-1,1940.71,1743.13,10.18,INWARD
TXN-B1043-2,INV-B1043-1,INV-B1043-2,1743.13,1414.51,18.85,SEGREGATION
TXN-B1043-3,INV-B1043-2,INV-B1043-3,1414.51,1254.62,11.3,WASHING
TXN-B1043-4,INV-B1043-3,INV-B1043-4,1254.62,1142.54,8.93,RECYCLING
TXN-B1043-5,INV-B1043-4,INV-B1043-5,1142.54,1019.94,10.73,DISPATCH
TXN-B1044-1,COLLECTION_SOURCE,INV-B1044-1,634.97,544.18,14.3,INWARD
TXN-B1044-2,INV-B1044-1,INV-B1044-2,544.18,440.45,19.06,SEGREGATION
TXN-B1044-3,INV-B1044-2,INV-B1044-3,440.45,376.58,14.5,WASHING
TXN-B1044-4,INV-B1044-3,INV-B1044-4,376.58,343.94,8.67,RECYCLING
TXN-B1044-5,INV-B1044-4,INV-B1044-5,343.94,297.3,13.56,DISPATCH
TXN-B1045-1,COLLECTION_SOURCE,INV-B1045-1,1187.05,1060.87,10.63,INWARD
TXN-B1045-2,INV-B1045-1,INV-B1045-2,1060.87,933.29,12.03,SEGREGATION
TXN-B1045-3,INV-B1045-2,INV-B1045-3,933.29,833.93,10.65,WASHING
TXN-B1045-4,INV-B1045-3,INV-B1045-4,833.93,757.86,9.12,RECYCLING
TXN-B1045-5,INV-B1045-4,INV-B1045-5,757.86,665.93,12.13,DISPATCH
TXN-B1046-1,COLLECTION_SOURCE,INV-B1046-1,2051.62,1844.65,10.09,INWARD
TXN-B1046-2,INV-B1046-1,INV-B1046-2,1844.65,1614.36,12.48,SEGREGATION
TXN-B1046-3,INV-B1046-2,INV-B1046-3,1614.36,1387.37,14.06,WASHING
TXN-B1046-4,INV-B1046-3,INV-B1046-4,1387.37,1243.43,10.38,RECYCLING
TXN-B1046-5,INV-B1046-4,INV-B1046-5,1243.43,1126.98,9.37,DISPATCH
TXN-B1047-1,COLLECTION_SOURCE,INV-B1047-1,2008.08,1729.62,13.87,INWARD
TXN-B1047-2,INV-B1047-1,INV-B1047-2,1729.62,1416.5,18.1,SEGREGATION
TXN-B1047-3,INV-B1047-2,INV-B1047-3,1416.5,1281.49,9.53,WASHING
TXN-B1047-4,INV-B1047-3,INV-B1047-4,1281.49,1113.02,13.15,RECYCLING
TXN-B1047-5,INV-B1047-4,INV-B1047-5,1113.02,1017.41,8.59,DISPATCH
TXN-B1048-1,COLLECTION_SOURCE,INV-B1048-1,1778.02,1582.36,11.0,INWARD
TXN-B1048-2,INV-B1048-1,INV-B1048-2,1582.36,1341.5,15.22,SEGREGATION
TXN-B1048-3,INV-B1048-2,INV-B1048-3,1341.5,1162.32,13.36,WASHING
TXN-B1049-1,COLLECTION_SOURCE,INV-B1049-1,1837.84,1636.18,10.97,INWARD
TXN-B1049-2,INV-B1049-1,INV-B1049-2,1636.18,1419.11,13.27,SEGREGATION
TXN-B1049-3,INV-B1049-2,INV-B1049-3,1419.11,1226.93,13.54,WASHING
TXN-B1049-4,INV-B1049-3,INV-B1049-4,1226.93,1071.21,12.69,RECYCLING
TXN-B1049-5,INV-B1049-4,INV-B1049-5,1071.21,939.79,12.27,DISPATCH
TXN-B1050-1,COLLECTION_SOURCE,INV-B1050-1,483.41,411.71,14.83,INWARD
TXN-B1051-1,COLLECTION_SOURCE,INV-B1051-1,1811.22,1550.56,14.39,INWARD
TXN-B1051-2,INV-B1051-1,INV-B1051-2,1550.56,1240.94,19.97,SEGREGATION
TXN-B1051-3,INV-B1051-2,INV-B1051-3,1240.94,1077.45,13.17,WASHING
TXN-B1051-4,INV-B1051-3,INV-B1051-4,1077.45,934.74,13.24,RECYCLING
TXN-B1051-5,INV-B1051-4,INV-B1051-5,934.74,799.91,14.42,DISPATCH
TXN-B1052-1,COLLECTION_SOURCE,INV-B1052-1,1431.03,1304.11,8.87,INWARD
TXN-B1052-2,INV-B1052-1,INV-B1052-2,1304.11,1050.39,19.46,SEGREGATION
TXN-B1052-3,INV-B1052-2,INV-B1052-3,1050.39,922.15,12.21,WASHING
TXN-B1053-1,COLLECTION_SOURCE,INV-B1053-1,2345.52,2061.95,12.09,INWARD
TXN-B1053-2,INV-B1053-1,INV-B1053-2,2061.95,1745.61,15.34,SEGREGATION
TXN-B1053-3,INV-B1053-2,INV-B1053-3,1745.61,1551.63,11.11,WASHING
TXN-B1053-4,INV-B1053-3,INV-B1053-4,1551.63,1392.68,10.24,RECYCLING
TXN-B1053-5,INV-B1053-4,INV-B1053-5,1392.68,1191.85,14.42,DISPATCH
TXN-B1054-1,COLLECTION_SOURCE,INV-B1054-1,1424.02,1291.28,9.32,INWARD
TXN-B1054-2,INV-B1054-1,INV-B1054-2,1291.28,1111.32,13.94,SEGREGATION
TXN-B1054-3,INV-B1054-2,INV-B1054-3,1111.32,953.62,14.19,WASHING
TXN-B1054-4,INV-B1054-3,INV-B1054-4,953.62,859.93,9.83,RECYCLING
TXN-B1054-5,INV-B1054-4,INV-B1054-5,859.93,755.63,12.13,DISPATCH
TXN-B1055-1,COLLECTION_SOURCE,INV-B1055-1,417.09,377.86,9.41,INWARD
TXN-B1055-2,INV-B1055-1,INV-B1055-2,377.86,318.08,15.82,SEGREGATION
TXN-B1055-3,INV-B1055-2,INV-B1055-3,318.08,286.63,9.89,WASHING
TXN-B1055-4,INV-B1055-3,INV-B1055-4,286.63,252.11,12.04,RECYCLING
TXN-B1055-5,INV-B1055-4,INV-B1055-5,252.11,215.86,14.38,DISPATCH
TXN-B1056-1,COLLECTION_SOURCE,INV-B1056-1,1534.63,1338.03,12.81,INWARD
TXN-B1056-2,INV-B1056-1,INV-B1056-2,1338.03,1103.99,17.49,SEGREGATION
TXN-B1056-3,INV-B1056-2,INV-B1056-3,1103.99,1003.25,9.13,WASHING
TXN-B1056-4,INV-B1056-3,INV-B1056-4,1003.25,871.68,13.11,RECYCLING
TXN-B1056-5,INV-B1056-4,INV-B1056-5,871.68,783.72,10.09,DISPATCH
TXN-B1057-1,COLLECTION_SOURCE,INV-B1057-1,1308.01,1137.83,13.01,INWARD
TXN-B1057-2,INV-B1057-1,INV-B1057-2,1137.83,943.9,17.04,SEGREGATION
TXN-B1057-3,INV-B1057-2,INV-B1057-3,943.9,819.15,13.22,WASHING
TXN-B1057-4,INV-B1057-3,INV-B1057-4,819.15,739.03,9.78,RECYCLING
TXN-B1057-5,INV-B1057-4,INV-B1057-5,739.03,648.27,12.28,DISPATCH
TXN-B1058-1,COLLECTION_SOURCE,INV-B1058-1,1537.4,1408.7,8.37,INWARD
TXN-B1058-2,INV-B1058-1,INV-B1058-2,1408.7,1198.44,14.93,SEGREGATION
TXN-B1058-3,INV-B1058-2,INV-B1058-3,1198.44,1028.67,14.17,WASHING
TXN-B1058-4,INV-B1058-3,INV-B1058-4,1028.67,879.07,14.54,RECYCLING
TXN-B1058-5,INV-B1058-4,INV-B1058-5,879.07,785.71,10.62,DISPATCH
TXN-B1059-1,COLLECTION_SOURCE,INV-B1059-1,1224.85,1045.1,14.68,INWARD
TXN-B1059-2,INV-B1059-1,INV-B1059-2,1045.1,905.94,13.32,SEGREGATION
TXN-B1059-3,INV-B1059-2,INV-B1059-3,905.94,783.92,13.47,WASHING
TXN-B1059-4,INV-B1059-3,INV-B1059-4,783.92,693.75,11.5,RECYCLING
TXN-B1059-5,INV-B1059-4,INV-B1059-5,693.75,620.67,10.53,DISPATCH
TXN-B1060-1,COLLECTION_SOURCE,INV-B1060-1,1122.83,1027.13,8.52,INWARD
TXN-B1061-1,COLLECTION_SOURCE,INV-B1061-1,2422.75,2344.19,3.24,INWARD
TXN-B1061-2,INV-B1061-1,INV-B1061-2,2344.19,2223.68,5.14,SEGREGATION
TXN-B1061-3,INV-B1061-2,INV-B1061-3,2223.68,2141.81,3.68,WASHING
TXN-B1061-4,INV-B1061-3,INV-B1061-4,2141.81,2062.57,3.7,RECYCLING
TXN-B1062-1,COLLECTION_SOURCE,INV-B1062-1,1830.87,1767.84,3.44,INWARD
TXN-B1062-2,INV-B1062-1,INV-B1062-2,1767.84,1664.26,5.86,SEGREGATION
TXN-B1062-3,INV-B1062-2,INV-B1062-3,1664.26,1586.13,4.69,WASHING
TXN-B1062-4,INV-B1062-3,INV-B1062-4,1586.13,1514.32,4.53,RECYCLING
TXN-B1062-5,INV-B1062-4,INV-B1062-5,1514.32,1452.49,4.08,DISPATCH
TXN-B1063-1,COLLECTION_SOURCE,INV-B1063-1,2085.75,2007.61,3.75,INWARD
TXN-B1063-2,INV-B1063-1,INV-B1063-2,2007.61,1942.15,3.26,SEGREGATION
TXN-B1063-3,INV-B1063-2,INV-B1063-3,1942.15,1859.44,4.26,WASHING
TXN-B1063-4,INV-B1063-3,INV-B1063-4,1859.44,1765.61,5.05,RECYCLING
TXN-B1063-5,INV-B1063-4,INV-B1063-5,1765.61,1679.59,4.87,DISPATCH
TXN-B1064-1,COLLECTION_SOURCE,INV-B1064-1,761.81,724.08,4.95,INWARD
TXN-B1064-2,INV-B1064-1,INV-B1064-2,724.08,691.59,4.49,SEGREGATION
TXN-B1064-3,INV-B1064-2,INV-B1064-3,691.59,659.41,4.65,WASHING
TXN-B1064-4,INV-B1064-3,INV-B1064-4,659.41,639.41,3.03,RECYCLING
TXN-B1064-5,INV-B1064-4,INV-B1064-5,639.41,616.27,3.62,DISPATCH
TXN-B1065-1,COLLECTION_SOURCE,INV-B1065-1,948.83,919.02,3.14,INWARD
TXN-B1065-2,INV-B1065-1,INV-B1065-2,919.02,866.86,5.68,SEGREGATION
TXN-B1065-3,INV-B1065-2,INV-B1065-3,866.86,839.07,3.21,WASHING
TXN-B1065-4,INV-B1065-3,INV-B1065-4,839.07,804.53,4.12,RECYCLING
TXN-B1065-5,INV-B1065-4,INV-B1065-5,804.53,776.51,3.48,DISPATCH
